RefSeq_genename,apoptosis,cell_cycle,cellular_processes,defense_system,DNA_maintenance,DNA_repair,epigenetics,extracellular_organization,extracellular_transport,growth,immune_system,intracellular_organization,metabolism,mitochondrial_process,mitochondrial_transcritpion_translation,protein_degredation,reproduction,transcription_translation_regulation
serine/threonine-protein kinase PRP4 homolog,,1,,,,,,,,1,,,1,,,,,1
"NACHT, LRR and PYD domains-containing protein 3-like",,,1,,,,,,,1,,,,,,,,
FYVE and coiled-coil domain-containing protein 1-like,,,,,,,,,,1,1,1,,,,,,
CST complex subunit TEN1-like,,,,,1,,,,,,,,,,,,,
titin homolog,,,,,,,,,,1,,,,,,,,
titin homolog,,,,,,,,,,1,,,,,,,,
uncharacterized LOC132752133,,,,,,,1,,,,,,,,,,,
coiled-coil domain-containing protein 112-like,,,1,,,,,,,,,,,,,,,
uncharacterized LOC132747234,,,,,,,,,,,,,,,,,,
E3 ubiquitin-protein ligase Bre1-like,,,,,,,1,,,1,1,,,,,1,,1
serine-rich adhesin for platelets-like,,,,,,,,,,,1,,,,,,,
phospholipase D1-like,,,,,,,,,,,,1,1,,,,,
uncharacterized LOC132731011,,,,,,,,,,,,,,,,,,
cytosolic carboxypeptidase-like protein 5,,,1,,,,,,,,,,1,,,,,
centromere-associated protein E-like,,1,,,,,,,,,,,,,,,,
uncharacterized LOC132713474,,,,,,,,,,,,,,,,,,1
suppressor of Mek1-like,,,1,,,,,,,,,,,,,,,
"inositol 1,4,5-triphosphate receptor associated 2-like",,,1,,,,,,,1,,,,,,,1,
uncharacterized LOC132731012,,,,,,,,,,,,,,,,,,
uncharacterized LOC132758975,,,,,,,,,,,,,,,,,,1
cylicin-1-like,,,1,,,,,1,,,,,1,,,,,
uncharacterized LOC132717148,,,,,,,,,,,,,,,,,,
golgin subfamily A member 1-like,,,,,,,,,,,,1,,,,,,
uncharacterized protein PF3D7_1120600-like,,,,,,,,,,,,,,,,,,
flap endonuclease GEN homolog 1-like,,1,,,,,,,,,,,,,,,,
golgin subfamily A member 6-like protein 22,,,,,,,,,,,,,,1,,,,
coiled-coil domain-containing protein 178-like,,,1,,,,,,,1,,,,,,,,
golgin subfamily A member 3-like,,,,,,,,,,,,1,,,,,,
uncharacterized LOC132746437,,,,,,,,,,,,,,,,,,1
inhibitor of growth protein 5-like,1,1,,,,,1,,,1,,,,,,,,
rho GTPase-activating protein gacU-like,,,1,,,,,,,1,1,,,,,,,1
transcriptional regulator ATRX-like,,1,,,,,1,,,,,1,,,,,,
uncharacterized LOC132732878,,,,,,1,,,,,,,,,,,,
vasculin-like protein 1,,,,,,,,,,,,,,,,,,1
elongin-C,,,,,,,1,,,,,,,,1,,,
"ATP-dependent 6-phosphofructokinase, muscle type-like",,,,,,,,,,,,,1,,,,,
large ribosomal subunit protein mL50-like,,,,,,,,,,,,,,,1,,,
uncharacterized LOC132745762,,,,,,,,,,,,,,,,,,
uncharacterized LOC132745166,,,,,,,,,,,,,,,,,,
uncharacterized LOC132715395,,,,,,,,,,,,,,,,,,
acyl-CoA dehydrogenase family member 10-like,,,,,,,,,,,,,1,,,,,
malignant fibrous histiocytoma-amplified sequence 1 homolog,,1,,,,,,,,,,,,,,,,
uncharacterized LOC132747103,,,,,,,,,,,,,,,,,,
uncharacterized LOC132723766,,,,,,,,,,,,,,,,,,
equilibrative nucleobase transporter 1-like,,,,,,,,,1,,,,,,,,,
dermonecrotic toxin StSicTox-betaIB1i-like,,,,1,,,,,,,,,,,,,,
uncharacterized LOC132733016,,,,,,,,,,,,,,,,,,
uncharacterized LOC132741641,,,,,,,,,,,,,,,,,,
